Study_Visit_ID	SeqExome_Cp_10p14	SeqExome_Cp_10q23	SeqExome_Cp_11p15	SeqExome_Cp_11q23	SeqExome_Cp_12p13	SeqExome_Cp_12q21	SeqExome_Cp_13q14	SeqExome_Cp_13q34	SeqExome_Cp_14q23	SeqExome_Cp_15q15	SeqExome_Cp_15q26	SeqExome_Cp_16p12	SeqExome_Cp_16q22	SeqExome_Cp_17p13	SeqExome_Cp_17q23	SeqExome_Cp_18p11	SeqExome_Cp_18q21	SeqExome_Cp_19p13	SeqExome_Cp_19q13	SeqExome_Cp_1p22	SeqExome_Cp_1q21	SeqExome_Cp_20p12	SeqExome_Cp_20q13	SeqExome_Cp_21q21	SeqExome_Cp_21q22	SeqExome_Cp_22q13	SeqExome_Cp_2p23	SeqExome_Cp_2q22	SeqExome_Cp_3p22	SeqExome_Cp_3q21	SeqExome_Cp_4p15	SeqExome_Cp_4q31	SeqExome_Cp_5p15	SeqExome_Cp_5q31	SeqExome_Cp_6p22	SeqExome_Cp_6q25	SeqExome_Cp_7p14	SeqExome_Cp_7q22	SeqExome_Cp_8p22	SeqExome_Cp_8q24	SeqExome_Cp_9p13	SeqExome_Cp_9q33	SeqExome_Cp_BIRCs	SeqExome_Cp_CDKN2C	SeqExome_Cp_CYLD	SeqExome_Cp_FAM46C	SeqExome_Cp_MYC	SeqExome_Cp_RB1	SeqExome_Cp_TP53	SeqExome_Cp_TRAF2	SeqExome_Cp_TRAF3	SeqExome_Cp_UTX	SeqExome_Cp_Xp11	SeqExome_Cp_Xq22	SeqExome_Cp_12p13_20percent	SeqExome_Cp_12p13_50percent	SeqExome_Cp_13q14_20percent	SeqExome_Cp_13q14_50percent	SeqExome_Cp_13q34_20percent	SeqExome_Cp_13q34_50percent	SeqExome_Cp_14q23_20percent	SeqExome_Cp_14q23_50percent	SeqExome_Cp_16q22_20percent	SeqExome_Cp_16q22_50percent	SeqExome_Cp_17p13_20percent	SeqExome_Cp_17p13_50percent	SeqExome_Cp_1p22_20percent	SeqExome_Cp_1p22_50percent	SeqExome_Cp_6q25_20percent	SeqExome_Cp_6q25_50percent	SeqExome_Cp_8p22_20percent	SeqExome_Cp_8p22_50percent	SeqExome_Cp_BIRCs_20percent	SeqExome_Cp_BIRCs_50percent	SeqExome_Cp_CDKN2C_20percent	SeqExome_Cp_CDKN2C_50percent	SeqExome_Cp_CYLD_20percent	SeqExome_Cp_CYLD_50percent	SeqExome_Cp_FAM46C_20percent	SeqExome_Cp_FAM46C_50percent	SeqExome_Cp_RB1_20percent	SeqExome_Cp_RB1_50percent	SeqExome_Cp_TP53_20percent	SeqExome_Cp_TP53_50percent	SeqExome_Cp_TRAF2_20percent	SeqExome_Cp_TRAF2_50percent	SeqExome_Cp_TRAF3_20percent	SeqExome_Cp_TRAF3_50percent	SeqExome_Cp_UTX_20percent	SeqExome_Cp_UTX_50percent	SeqExome_Cp_Xp11_20percent	SeqExome_Cp_Xp11_50percent	SeqExome_Cp_Xq22_20percent	SeqExome_Cp_Xq22_50percent	SeqExome_Cp_10p14_20percent	SeqExome_Cp_10p14_50percent	SeqExome_Cp_10q23_20percent	SeqExome_Cp_10q23_50percent	SeqExome_Cp_11p15_20percent	SeqExome_Cp_11p15_50percent	SeqExome_Cp_11q23_20percent	SeqExome_Cp_11q23_50percent	SeqExome_Cp_12q21_20percent	SeqExome_Cp_12q21_50percent	SeqExome_Cp_15q15_20percent	SeqExome_Cp_15q15_50percent	SeqExome_Cp_15q26_20percent	SeqExome_Cp_15q26_50percent	SeqExome_Cp_16p12_20percent	SeqExome_Cp_16p12_50percent	SeqExome_Cp_17q23_20percent	SeqExome_Cp_17q23_50percent	SeqExome_Cp_18p11_20percent	SeqExome_Cp_18p11_50percent	SeqExome_Cp_18q21_20percent	SeqExome_Cp_18q21_50percent	SeqExome_Cp_19p13_20percent	SeqExome_Cp_19p13_50percent	SeqExome_Cp_19q13_20percent	SeqExome_Cp_19q13_50percent	SeqExome_Cp_1q21_20percent	SeqExome_Cp_1q21_50percent	SeqExome_Cp_20p12_20percent	SeqExome_Cp_20p12_50percent	SeqExome_Cp_20q13_20percent	SeqExome_Cp_20q13_50percent	SeqExome_Cp_21q21_20percent	SeqExome_Cp_21q21_50percent	SeqExome_Cp_21q22_20percent	SeqExome_Cp_21q22_50percent	SeqExome_Cp_22q13_20percent	SeqExome_Cp_22q13_50percent	SeqExome_Cp_2p23_20percent	SeqExome_Cp_2p23_50percent	SeqExome_Cp_2q22_20percent	SeqExome_Cp_2q22_50percent	SeqExome_Cp_3p22_20percent	SeqExome_Cp_3p22_50percent	SeqExome_Cp_3q21_20percent	SeqExome_Cp_3q21_50percent	SeqExome_Cp_4p15_20percent	SeqExome_Cp_4p15_50percent	SeqExome_Cp_4q31_20percent	SeqExome_Cp_4q31_50percent	SeqExome_Cp_5p15_20percent	SeqExome_Cp_5p15_50percent	SeqExome_Cp_5q31_20percent	SeqExome_Cp_5q31_50percent	SeqExome_Cp_6p22_20percent	SeqExome_Cp_6p22_50percent	SeqExome_Cp_7p14_20percent	SeqExome_Cp_7p14_50percent	SeqExome_Cp_7q22_20percent	SeqExome_Cp_7q22_50percent	SeqExome_Cp_8q24_20percent	SeqExome_Cp_8q24_50percent	SeqExome_Cp_9p13_20percent	SeqExome_Cp_9p13_50percent	SeqExome_Cp_9q33_20percent	SeqExome_Cp_9q33_50percent	SeqExome_Cp_MYC_20percent	SeqExome_Cp_MYC_50percent	SeqExome_Cp_Hyperdiploid_Chr_Count	SeqExome_Cp_Hyperdiploid_Call
MMRF_1016_1_BM	-0.025	0.005	-0.008	-0.337	-0.013	0.018	-0.234	-0.272	-0.026	0.561	0.545	-0.014	0.008	0.421	0.421	0.003	0.001	0.566	0.562	-0.591	0.394	-0.028	-0.579	0.034	-0.017	-0.014	-0.013	-0.007	0.543	0.543	-0.001	0.007	0.557	0.544	0.542	0.364	0.019	0.051	-0.025	-0.024	0.309	0.520	0.026	-0.380	0.008	-0.015	-0.024	-0.234	0.421	0.517	-0.035	-0.999	-0.999	-1.013	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	5	1
MMRF_1020_3_BM	-0.011	0.003	0.010	0.030	-0.938	0.030	-0.932	-0.941	-0.932	0.017	0.012	0.015	0.015	0.008	0.021	0.006	-0.000	0.040	0.033	0.023	0.746	-0.809	0.405	0.180	0.174	0.016	0.027	0.027	0.013	0.021	0.027	0.011	0.569	-0.002	0.004	0.006	0.011	0.027	0.004	0.016	0.580	0.518	0.024	0.019	0.015	0.038	0.016	-0.931	0.008	0.588	-0.546	-1.010	-0.988	-0.977	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	1
MMRF_1021_1_BM	0.014	0.030	0.048	0.023	0.014	0.034	-0.929	-0.923	-0.543	0.026	0.027	-0.006	0.034	0.036	0.038	0.010	0.022	0.594	0.598	-0.432	0.619	0.026	0.035	0.021	0.021	0.032	0.018	0.026	0.038	0.033	0.036	0.021	0.033	0.024	0.096	0.059	0.025	0.020	-0.032	0.049	0.041	0.031	0.029	0.370	0.035	-0.433	0.049	-0.908	0.036	0.094	-0.414	-0.893	-0.864	-0.786	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MMRF_1029_1_BM	-0.030	-0.020	0.540	0.529	-0.007	-0.057	-0.798	-0.791	-0.027	0.031	0.014	-0.009	-0.991	-0.014	-0.014	0.196	0.184	0.711	0.667	-0.040	-0.005	-0.021	-0.024	0.162	0.192	-0.025	-0.005	-0.038	0.476	0.452	-0.028	-0.041	-0.013	-0.030	0.222	0.181	-0.035	-0.025	-0.046	-0.036	-0.312	0.420	0.529	-0.026	-0.982	-0.026	-0.036	-1.170	-0.014	0.386	-0.979	-1.029	-1.031	-1.042	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	4	1
MMRF_1030_1_BM	-0.054	-0.011	0.552	0.533	-0.036	-0.056	-0.026	-0.003	-0.070	0.538	0.531	0.105	-0.467	-0.054	-0.017	-0.034	-0.020	0.507	0.511	-0.417	-0.028	-0.038	-0.047	0.516	0.538	-0.037	-0.049	-0.033	-0.028	-0.008	-0.038	-0.036	0.572	0.525	-0.024	-0.046	-0.025	-0.036	-0.033	-0.017	0.552	0.551	0.533	-0.030	-0.456	-0.437	-0.017	-0.026	-0.054	0.512	-0.066	-0.382	-0.013	0.003	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	6	1
MMRF_1031_1_BM	-0.032	-0.033	0.481	0.495	-0.071	-0.079	-0.798	-0.776	-0.039	0.520	0.812	-0.031	-0.011	0.002	-0.026	0.507	0.468	0.943	0.543	-0.026	0.517	-0.060	-0.049	-0.069	-0.037	-0.005	0.006	-0.074	0.511	0.495	-0.049	0.442	0.464	0.473	0.440	0.005	0.493	0.551	-0.982	0.021	0.934	0.914	0.473	-2.366	-0.066	-0.048	0.021	-0.798	0.002	0.903	-0.023	-1.058	-1.085	-1.065	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	7	1
MMRF_1032_1_BM	-0.001	-0.060	0.013	0.942	-0.908	-0.016	-0.007	-0.011	-0.022	0.528	0.528	-0.005	-0.015	-0.025	-0.029	-0.007	0.007	0.946	0.931	0.007	-0.024	-0.025	-0.042	0.029	-0.020	-0.036	-0.936	0.011	-0.013	-0.015	0.529	0.560	0.581	0.523	-0.046	-0.939	-0.012	-0.022	-0.071	0.008	0.537	-0.014	0.593	-0.052	-0.043	-0.048	0.008	-0.007	-0.025	-0.034	-0.007	-1.043	-1.000	-0.991	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1
MMRF_1037_1_BM	-0.063	-0.043	0.578	0.832	-0.042	-0.067	-0.025	-0.025	-0.046	0.805	0.836	-0.036	-0.063	-0.074	-0.058	-0.046	-0.030	0.921	0.923	-0.089	-0.061	-0.038	-0.032	0.007	0.015	-0.068	0.538	0.523	0.432	0.411	-0.026	0.355	0.542	0.524	-0.055	-0.055	-0.016	-0.035	-0.040	-0.050	0.522	0.547	0.832	-0.042	-0.053	-0.067	-0.050	-0.025	-0.074	0.524	-0.059	-1.016	-1.034	-0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	6	1
MMRF_1038_1_BM	-0.075	-0.057	-0.048	-0.076	-0.018	-0.093	-0.082	-0.056	-0.070	0.898	0.864	-0.028	-0.080	-0.070	-0.087	-0.065	-0.010	0.491	0.437	-0.054	-0.090	-0.052	-0.082	-0.098	-0.090	-0.152	-0.066	-0.071	0.496	0.504	-0.067	-0.048	0.509	0.479	-0.061	-0.124	-0.062	-0.145	-0.073	-0.142	0.500	0.924	-0.076	-0.088	-0.033	-0.678	-0.142	-0.082	-0.070	0.886	-0.090	-1.425	-1.097	-1.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	5	1
MMRF_1045_1_BM	-0.009	-0.011	0.558	0.556	0.004	-0.004	-0.012	-0.056	-0.016	-0.018	-0.025	-0.004	-0.024	-0.013	-0.018	-0.015	-0.018	-0.010	0.010	-0.003	0.552	-0.019	-0.962	0.034	-0.017	-0.006	-0.011	-0.008	0.549	0.558	0.562	0.559	-0.044	-0.020	-0.018	-0.025	-0.018	-0.005	-0.027	-0.027	-0.015	-0.015	0.556	-0.010	-0.031	-0.008	-0.027	-0.012	-0.013	-0.035	-0.016	-0.960	-0.960	-0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
