chr	start	end	Annotation
chr1	540407	540765	Intergenic
chr1	761258	764288	promoter-TSS.(NR_047526)
chr1	874670	882874	TTS.(NM_015658)
chr1	954115	956410	promoter-TSS.(NM_001305275)
chr1	975789	976128	intron.(NM_198576,.intron.3.of.35)
chr1	994424	995534	Intergenic
chr1	1002591	1002747	Intergenic
chr1	1003358	1006487	Intergenic
chr1	1027672	1028151	intron.(NM_017891,.intron.1.of.9)
chr1	1070696	1074050	promoter-TSS.(NR_038869)
chr1	1077939	1078106	intron.(NR_038869,.intron.2.of.2)
chr1	1239274	1245829	intron.(NM_030649,.intron.1.of.23)
chr1	1270759	1270941	3'.UTR.(NM_004421,.exon.15.of.15)
chr1	1271263	1271476	3'.UTR.(NM_004421,.exon.15.of.15)
chr1	1278397	1282038	intron.(NM_004421,.intron.1.of.14)
chr1	1307144	1307574	Intergenic
chr1	1308018	1308196	Intergenic
chr1	1340837	1344101	intron.(NM_017971,.intron.1.of.3)
chr1	1346630	1348761	Intergenic
chr1	1352719	1353862	TTS.(NM_001145210)
chr1	1354228	1354446	3'.UTR.(NM_001145210,.exon.4.of.4)
chr1	1405781	1408957	exon.(NM_031921,.exon.1.of.16)
chr1	1489675	1493491	intron.(NM_014188,.intron.2.of.4)
chr1	1542130	1542300	Intergenic
chr1	1681492	1681765	Intergenic
chr1	1759851	1760451	intron.(NM_001282539,.intron.1.of.10)
chr1	1760460	1761217	intron.(NM_001282539,.intron.1.of.10)
chr1	1778316	1780848	intron.(NM_001282538,.intron.1.of.9)
chr1	1828041	1828550	Intergenic
chr1	1849281	1852143	promoter-TSS.(NM_178545)
chr1	2058452	2058674	intron.(NM_001033582,.intron.1.of.14)
chr1	2120428	2122352	intron.(NM_001282670,.intron.7.of.7)
chr1	2135555	2138008	intron.(NM_001282670,.intron.2.of.7)
chr1	2185438	2189039	intron.(NM_003036,.intron.1.of.6)
chr1	2318797	2320184	intron.(NR_125361,.intron.2.of.6)
chr1	2346822	2348228	Intergenic
chr1	2427029	2428109	intron.(NM_001303012,.intron.13.of.21)
chr1	2514755	2519309	promoter-TSS.(NR_036637)
chr1	2585079	2585784	intron.(NM_001242672,.intron.4.of.6)
chr1	2586299	2586724	intron.(NM_001242672,.intron.4.of.6)
chr1	2587230	2587524	intron.(NM_001242672,.intron.4.of.6)
chr1	2615120	2615684	intron.(NM_001242672,.intron.4.of.6)
chr1	3447403	3447561	intron.(NM_001409,.intron.4.of.36)
chr1	3447705	3447938	intron.(NM_001409,.intron.4.of.36)
chr1	3568609	3570275	intron.(NM_001204187,.intron.1.of.11)
chr1	3572182	3574183	intron.(NM_001204187,.intron.1.of.11)
